REFERENCNECISLO;POHLAVIE;VEK;STAVDOKLADU;DANCELKOM;UHRADENACIASTKA;UHRADENACIASTKADOSPLATNOSTI;UHRADENACIASTKAPOSPLATNOSTI;ZOSTAVAUHRADIT;CISLOSPRAVKYNE;INTERVENCIA;PRIZNANIE2021A
257;muz;68;P;52.2000;52.2000;52.2000;0.0000;0.0000;19;Export DZN B;0
258;zena;69;P;28.8000;28.8000;28.8000;0.0000;0.0000;19;Export DZN B;0
259;zena;56;P;368.0800;368.0800;368.0800;0.0000;0.0000;19;Export DZN B;0
260;muz;64;P;96.0600;96.0600;96.0600;0.0000;0.0000;19;Export DZN B;0
261;muz;59;P;50.1100;50.1100;50.1100;0.0000;0.0000;19;Export DZN B;0
262;muz;77;P;24.1200;24.1200;24.1200;0.0000;0.0000;19;Export DZN B;0
263;zena;64;P;56.7000;56.7000;56.7000;0.0000;0.0000;19;Export DZN B;0
264;zena;68;P;25.2000;25.2000;25.2000;0.0000;0.0000;19;Export DZN B;0
265;muz;69;P;61.7600;61.7600;61.7600;0.0000;0.0000;19;Export DZN B;0
266;muz;63;Z;62.1000;62.1000;62.1000;0.0000;0.0000;19;Export DZN B;0
267;muz;73;P;29.1600;29.1600;29.1600;0.0000;0.0000;19;Export DZN B;0
268;zena;76;P;24.4800;24.4800;24.4800;0.0000;0.0000;19;Export DZN B;0
269;muz;87;P;49.4400;49.4400;49.4400;0.0000;0.0000;19;Export DZN B;0
270;muz;68;P;22.5000;22.5000;22.5000;0.0000;0.0000;19;Export DZN B;0
271;muz;79;P;28.4400;28.4400;28.4400;0.0000;0.0000;19;Export DZN B;0
272;muz;78;P;53.2800;53.2800;53.2800;0.0000;0.0000;19;Export DZN B;0
273;muz;67;Z;2436.4600;0.0000;0.0000;0.0000;2436.4600;19;Export DZN B;0
274;muz;61;P;169.6200;169.6200;169.6200;0.0000;0.0000;19;Export DZN B;0
275;muz;53;Z;286.2800;0.0000;0.0000;0.0000;286.2800;19;Export DZN B;0
276;muz;56;P;45.9000;45.9000;45.9000;0.0000;0.0000;19;Export DZN B;0
277;muz;69;P;27.0200;27.0200;27.0200;0.0000;0.0000;19;Export DZN B;0
278;muz;47;P;130.4500;130.4500;130.4500;0.0000;0.0000;19;Export DZN B;0
279;muz;64;P;62.7000;62.7000;62.7000;0.0000;0.0000;19;Export DZN B;0
280;zena;77;Z;195.8200;65.2800;65.2800;0.0000;130.5400;19;Export DZN B;0
281;zena;43;P;55.1400;55.1400;55.1400;0.0000;0.0000;19;Export DZN B;0
282;muz;66;P;305.5800;305.5800;305.5800;0.0000;0.0000;19;Export DZN B;0
283;muz;48;Z;193.0700;64.3700;64.3700;0.0000;128.7000;19;Export DZN B;0
284;zena;84;P;11.7800;11.7800;11.7800;0.0000;0.0000;19;Export DZN B;0
285;zena;52;Z;78.6000;78.5700;78.5700;0.0000;0.0300;19;Export DZN B;0
286;muz;61;P;27.5500;27.5500;27.5500;0.0000;0.0000;19;Export DZN B;0
287;muz;63;P;191.9000;191.9000;191.9000;0.0000;0.0000;19;Export DZN B;0
288;zena;54;P;61.6900;61.6900;61.6900;0.0000;0.0000;19;Export DZN B;0
289;muz;57;P;70.2000;70.2000;70.2000;0.0000;0.0000;19;Export DZN B;0
290;muz;79;P;21.2800;21.2800;21.2800;0.0000;0.0000;19;Export DZN B;0
291;muz;55;P;750.6200;750.6200;750.6200;0.0000;0.0000;19;Export DZN B;0
292;muz;54;P;114.8200;114.8200;114.8200;0.0000;0.0000;19;Export DZN B;0
293;muz;71;P;30.7800;30.7800;30.7800;0.0000;0.0000;19;Export DZN B;0
294;muz;48;P;173.8500;173.8500;173.8500;0.0000;0.0000;19;Export DZN B;0
295;muz;62;P;28.0800;28.0800;28.0800;0.0000;0.0000;19;Export DZN B;0
296;zena;73;P;26.6400;26.6400;26.6400;0.0000;0.0000;19;Export DZN B;0
297;muz;73;P;109.6300;109.6300;109.6300;0.0000;0.0000;19;Export DZN B;0
298;zena;61;P;76.5000;76.5000;76.5000;0.0000;0.0000;19;Export DZN B;0
299;muz;79;P;25.2000;25.2000;25.2000;0.0000;0.0000;19;Export DZN B;0
